"Economic.Sector","Year","Jobs","Pathway"
"Maintenance and Repair",2041,450693.734226888,"Baseline"
"Private Households",2041,161787.494337857,"Baseline"
"Food & Beverages",2041,254237.491102347,"Baseline"
"Fishing",2042,197409.10617551,"Baseline"
"Hotels and Restaurants",2042,383205.911987755,"Baseline"
"Post and Telecommunications",2042,232246.007265306,"Baseline"
"Re-export & Re-import",2042,11612.3003632653,"Baseline"
"Electricity, Gas and Water",2042,116123.003632653,"Baseline"
"Agriculture",2042,3425628.60716327,"Baseline"
"Mining and Quarrying",2042,127735.303995918,"Baseline"
"Textiles and Wearing Apparel",2042,418042.813077551,"Baseline"
"Transport",2042,557390.417436735,"Baseline"
"Metal Products",2042,150959.904722449,"Baseline"
"Food & Beverages",2042,255470.607991837,"Baseline"
"Other Manufacturing",2042,116123.003632653,"Baseline"
"Private Households",2042,162572.205085714,"Baseline"
"Construction",2042,1300577.64068571,"Baseline"
"Wood and Paper",2042,58061.5018163265,"Baseline"
"Others",2042,23224.6007265306,"Baseline"
"Recycling",2042,11612.3003632653,"Baseline"
"Transport Equipment",2042,46449.2014530612,"Baseline"
"Education, Health and Other Services",2042,603839.618889796,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2042,290307.509081633,"Baseline"
"Electrical and Machinery",2042,127735.303995918,"Baseline"
"Retail Trade",2042,987045.530877551,"Baseline"
"Financial Intermediation and Business Activities",2042,464492.014530612,"Baseline"
"Wholesale Trade",2042,522553.516346939,"Baseline"
"Public Administration",2042,569002.7178,"Baseline"
"Maintenance and Repair",2042,452879.714167347,"Baseline"
"Wood and Paper",2043,58342.58836875,"Baseline"
"Post and Telecommunications",2043,233370.353475,"Baseline"
"Electrical and Machinery",2043,128353.69441125,"Baseline"
"Mining and Quarrying",2043,128353.69441125,"Baseline"
"Financial Intermediation and Business Activities",2043,466740.70695,"Baseline"
"Fishing",2043,198364.80045375,"Baseline"
"Transport Equipment",2043,46674.070695,"Baseline"
"Education, Health and Other Services",2043,606762.919035,"Baseline"
"Agriculture",2043,3442212.71375625,"Baseline"
"Public Administration",2043,571757.36601375,"Baseline"
"Re-export & Re-import",2043,11668.51767375,"Baseline"
"Hotels and Restaurants",2043,385061.08323375,"Baseline"
"Retail Trade",2043,991824.00226875,"Baseline"
"Other Manufacturing",2043,116685.1767375,"Baseline"
"Textiles and Wearing Apparel",2043,420066.636255,"Baseline"
"Electricity, Gas and Water",2043,116685.1767375,"Baseline"
"Wholesale Trade",2043,525083.29531875,"Baseline"
"Maintenance and Repair",2043,455072.18927625,"Baseline"
"Recycling",2043,11668.51767375,"Baseline"
"Transport",2043,560088.84834,"Baseline"
"Metal Products",2043,151690.72975875,"Baseline"
"Others",2043,23337.0353475,"Baseline"
"Private Households",2043,163359.2474325,"Baseline"
"Construction",2043,1306873.97946,"Baseline"
"Food & Beverages",2043,256707.3888225,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2043,291712.94184375,"Baseline"
"Post and Telecommunications",2044,233951.500236735,"Baseline"
"Mining and Quarrying",2044,128673.325130204,"Baseline"
"Textiles and Wearing Apparel",2044,421112.700426122,"Baseline"
"Fishing",2044,198858.775201224,"Baseline"
"Wood and Paper",2044,58487.8750591837,"Baseline"
"Other Manufacturing",2044,116975.750118367,"Baseline"
"Transport",2044,561483.600568163,"Baseline"
"Transport Equipment",2044,46790.3000473469,"Baseline"
"Hotels and Restaurants",2044,386019.975390612,"Baseline"
"Others",2044,23395.1500236735,"Baseline"
"Private Households",2044,163766.050165714,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2044,292439.375295918,"Baseline"
"Electrical and Machinery",2044,128673.325130204,"Baseline"
"Wholesale Trade",2044,526390.875532653,"Baseline"
"Agriculture",2044,3450784.62849184,"Baseline"
"Recycling",2044,11697.5750118367,"Baseline"
"Financial Intermediation and Business Activities",2044,467903.000473469,"Baseline"
"Electricity, Gas and Water",2044,116975.750118367,"Baseline"
"Metal Products",2044,152068.475153878,"Baseline"
"Retail Trade",2044,994293.876006122,"Baseline"
"Public Administration",2044,573181.17558,"Baseline"
"Education, Health and Other Services",2044,608273.90061551,"Baseline"
"Construction",2044,1310128.40132571,"Baseline"
"Food & Beverages",2044,257346.650260408,"Baseline"
"Maintenance and Repair",2044,456205.425461633,"Baseline"
"Re-export & Re-import",2044,11697.5750118367,"Baseline"
"Fishing",2045,199352.796494005,"Baseline"
"Hotels and Restaurants",2045,386978.957900128,"Baseline"
"Retail Trade",2045,996763.982470026,"Baseline"
"Post and Telecommunications",2045,234532.701757653,"Baseline"
"Re-export & Re-import",2045,11726.6350878827,"Baseline"
"Electricity, Gas and Water",2045,117266.350878827,"Baseline"
"Agriculture",2045,3459357.35092538,"Baseline"
"Maintenance and Repair",2045,457338.768427423,"Baseline"
"Textiles and Wearing Apparel",2045,422158.863163776,"Baseline"
"Education, Health and Other Services",2045,609785.024569898,"Baseline"
"Metal Products",2045,152446.256142475,"Baseline"
"Mining and Quarrying",2045,128992.985966709,"Baseline"
"Public Administration",2045,574605.11930625,"Baseline"
"Transport",2045,562878.484218367,"Baseline"
"Electrical and Machinery",2045,128992.985966709,"Baseline"
"Wholesale Trade",2045,527698.578954719,"Baseline"
"Other Manufacturing",2045,117266.350878827,"Baseline"
"Financial Intermediation and Business Activities",2045,469065.403515306,"Baseline"
"Construction",2045,1313383.12984286,"Baseline"
"Wood and Paper",2045,58633.1754394133,"Baseline"
"Others",2045,23453.2701757653,"Baseline"
"Private Households",2045,164172.891230357,"Baseline"
"Transport Equipment",2045,46906.5403515306,"Baseline"
"Food & Beverages",2045,257985.971933418,"Baseline"
"Recycling",2045,11726.6350878827,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2045,293165.877197066,"Baseline"
"Transport Equipment",2046,47021.0458995918,"Baseline"
"Re-export & Re-import",2046,11755.261474898,"Baseline"
"Wood and Paper",2046,58776.3073744898,"Baseline"
"Others",2046,23510.5229497959,"Baseline"
"Recycling",2046,11755.261474898,"Baseline"
"Agriculture",2046,3467802.1350949,"Baseline"
"Post and Telecommunications",2046,235105.229497959,"Baseline"
"Financial Intermediation and Business Activities",2046,470210.458995918,"Baseline"
"Fishing",2046,199839.445073265,"Baseline"
"Hotels and Restaurants",2046,387923.628671633,"Baseline"
"Retail Trade",2046,999197.225366327,"Baseline"
"Textiles and Wearing Apparel",2046,423189.413096327,"Baseline"
"Education, Health and Other Services",2046,611273.596694694,"Baseline"
"Electrical and Machinery",2046,129307.876223878,"Baseline"
"Mining and Quarrying",2046,129307.876223878,"Baseline"
"Public Administration",2046,576007.81227,"Baseline"
"Transport",2046,564252.550795102,"Baseline"
"Electricity, Gas and Water",2046,117552.61474898,"Baseline"
"Wholesale Trade",2046,528986.766370408,"Baseline"
"Other Manufacturing",2046,117552.61474898,"Baseline"
"Private Households",2046,164573.660648571,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2046,293881.536872449,"Baseline"
"Metal Products",2046,152818.399173673,"Baseline"
"Maintenance and Repair",2046,458455.19752102,"Baseline"
"Construction",2046,1316589.28518857,"Baseline"
"Food & Beverages",2046,258615.752447755,"Baseline"
"Post and Telecommunications",2047,235669.003855867,"Baseline"
"Fishing",2047,200318.653277487,"Baseline"
"Mining and Quarrying",2047,129617.952120727,"Baseline"
"Textiles and Wearing Apparel",2047,424204.206940561,"Baseline"
"Electricity, Gas and Water",2047,117834.501927934,"Baseline"
"Metal Products",2047,153184.852506314,"Baseline"
"Agriculture",2047,3476117.80687404,"Baseline"
"Other Manufacturing",2047,117834.501927934,"Baseline"
"Re-export & Re-import",2047,11783.4501927934,"Baseline"
"Construction",2047,1319746.42159286,"Baseline"
"Wood and Paper",2047,58917.2509639668,"Baseline"
"Others",2047,23566.9003855867,"Baseline"
"Private Households",2047,164968.302699107,"Baseline"
"Transport Equipment",2047,47133.8007711735,"Baseline"
"Education, Health and Other Services",2047,612739.410025255,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2047,294586.254819834,"Baseline"
"Recycling",2047,11783.4501927934,"Baseline"
"Transport",2047,565605.609254082,"Baseline"
"Electrical and Machinery",2047,129617.952120727,"Baseline"
"Hotels and Restaurants",2047,388853.856362181,"Baseline"
"Retail Trade",2047,1001593.26638744,"Baseline"
"Financial Intermediation and Business Activities",2047,471338.007711735,"Baseline"
"Wholesale Trade",2047,530255.258675701,"Baseline"
"Public Administration",2047,577389.059446875,"Baseline"
"Maintenance and Repair",2047,459554.557518941,"Baseline"
"Food & Beverages",2047,259235.904241454,"Baseline"
"Wood and Paper",2048,59060.3760642857,"Baseline"
"Electrical and Machinery",2048,129932.827341429,"Baseline"
"Mining and Quarrying",2048,129932.827341429,"Baseline"
"Financial Intermediation and Business Activities",2048,472483.008514286,"Baseline"
"Fishing",2048,200805.278618571,"Baseline"
"Agriculture",2048,3484562.18779286,"Baseline"
"Transport Equipment",2048,47248.3008514286,"Baseline"
"Re-export & Re-import",2048,11812.0752128571,"Baseline"
"Hotels and Restaurants",2048,389798.482024286,"Baseline"
"Post and Telecommunications",2048,236241.504257143,"Baseline"
"Textiles and Wearing Apparel",2048,425234.707662857,"Baseline"
"Electricity, Gas and Water",2048,118120.752128571,"Baseline"
"Retail Trade",2048,1004026.39309286,"Baseline"
"Maintenance and Repair",2048,460670.933301429,"Baseline"
"Other Manufacturing",2048,118120.752128571,"Baseline"
"Transport",2048,566979.610217143,"Baseline"
"Wholesale Trade",2048,531543.384578571,"Baseline"
"Others",2048,23624.1504257143,"Baseline"
"Private Households",2048,165369.05298,"Baseline"
"Metal Products",2048,153556.977767143,"Baseline"
"Food & Beverages",2048,259865.654682857,"Baseline"
"Recycling",2048,11812.0752128571,"Baseline"
"Construction",2048,1322952.42384,"Baseline"
"Education, Health and Other Services",2048,614227.911068571,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2048,295301.880321429,"Baseline"
"Public Administration",2048,578791.68543,"Baseline"
"Post and Telecommunications",2049,236805.196288776,"Baseline"
"Mining and Quarrying",2049,130242.857958827,"Baseline"
"Wood and Paper",2049,59201.2990721939,"Baseline"
"Textiles and Wearing Apparel",2049,426249.353319796,"Baseline"
"Hotels and Restaurants",2049,390728.57387648,"Baseline"
"Other Manufacturing",2049,118402.598144388,"Baseline"
"Private Households",2049,165763.637402143,"Baseline"
"Fishing",2049,201284.416845459,"Baseline"
"Electrical and Machinery",2049,130242.857958827,"Baseline"
"Others",2049,23680.5196288776,"Baseline"
"Agriculture",2049,3492876.64525944,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2049,296006.495360969,"Baseline"
"Financial Intermediation and Business Activities",2049,473610.392577551,"Baseline"
"Electricity, Gas and Water",2049,118402.598144388,"Baseline"
"Metal Products",2049,153923.377587704,"Baseline"
"Recycling",2049,11840.2598144388,"Baseline"
"Transport Equipment",2049,47361.0392577551,"Baseline"
"Education, Health and Other Services",2049,615693.510350816,"Baseline"
"Construction",2049,1326109.09921714,"Baseline"
"Retail Trade",2049,1006422.0842273,"Baseline"
"Public Administration",2049,580172.7309075,"Baseline"
"Re-export & Re-import",2049,11840.2598144388,"Baseline"
"Transport",2049,568332.471093061,"Baseline"
"Wholesale Trade",2049,532811.691649745,"Baseline"
"Maintenance and Repair",2049,461770.132763112,"Baseline"
"Food & Beverages",2049,260485.715917653,"Baseline"
"Post and Telecommunications",2050,237368.832,"Baseline"
"Fishing",2050,201763.5072,"Baseline"
"Electricity, Gas and Water",2050,118684.416,"Baseline"
"Retail Trade",2050,1008817.536,"Baseline"
"Re-export & Re-import",2050,11868.4416,"Baseline"
"Education, Health and Other Services",2050,617158.9632,"Baseline"
"Agriculture",2050,3501190.272,"Baseline"
"Mining and Quarrying",2050,130552.8576,"Baseline"
"Textiles and Wearing Apparel",2050,427263.8976,"Baseline"
"Transport",2050,569685.1968,"Baseline"
"Hotels and Restaurants",2050,391658.5728,"Baseline"
"Wholesale Trade",2050,534079.872,"Baseline"
"Other Manufacturing",2050,118684.416,"Baseline"
"Financial Intermediation and Business Activities",2050,474737.664,"Baseline"
"Construction",2050,1329265.4592,"Baseline"
"Wood and Paper",2050,59342.208,"Baseline"
"Maintenance and Repair",2050,462869.2224,"Baseline"
"Private Households",2050,166158.1824,"Baseline"
"Transport Equipment",2050,47473.7664,"Baseline"
"Metal Products",2050,154289.7408,"Baseline"
"Others",2050,23736.8832,"Baseline"
"Public Administration",2050,581553.6384,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2050,296711.04,"Baseline"
"Electrical and Machinery",2050,130552.8576,"Baseline"
"Food & Beverages",2050,261105.7152,"Baseline"
"Recycling",2050,11868.4416,"Baseline"
"Agriculture",2023,2999930.57825874,"Low Emissions"
"Others",2023,20338.5123949745,"Low Emissions"
"Wood and Paper",2023,50846.2809874362,"Low Emissions"
"Education, Health and Other Services",2023,528801.322269337,"Low Emissions"
"Electrical and Machinery",2023,111861.81817236,"Low Emissions"
"Private Households",2023,142369.586764821,"Low Emissions"
"Financial Intermediation and Business Activities",2023,406770.24789949,"Low Emissions"
"Fishing",2023,172877.355357283,"Low Emissions"
"Recycling",2023,10169.2561974872,"Low Emissions"
"Food & Beverages",2023,223723.636344719,"Low Emissions"
"Maintenance and Repair",2023,396600.991702003,"Low Emissions"
"Transport",2023,488124.297479388,"Low Emissions"
"Metal Products",2023,132200.330567334,"Low Emissions"
"Mining and Quarrying",2023,111861.81817236,"Low Emissions"
"Other Manufacturing",2023,101692.561974872,"Low Emissions"
"Construction",2023,1138956.69411857,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2023,254231.404937181,"Low Emissions"
"Post and Telecommunications",2023,203385.123949745,"Low Emissions"
"Transport Equipment",2023,40677.024789949,"Low Emissions"
"Electricity, Gas and Water",2023,101692.561974872,"Low Emissions"
"Re-export & Re-import",2023,10169.2561974872,"Low Emissions"
"Public Administration",2023,498293.553676875,"Low Emissions"
"Hotels and Restaurants",2023,335585.454517079,"Low Emissions"
"Textiles and Wearing Apparel",2023,366093.223109541,"Low Emissions"
"Wholesale Trade",2023,457616.528886926,"Low Emissions"
"Retail Trade",2023,864386.776786416,"Low Emissions"
"Post and Telecommunications",2024,205629.145714286,"Low Emissions"
"Re-export & Re-import",2024,10281.4572857143,"Low Emissions"
"Recycling",2024,10281.4572857143,"Low Emissions"
"Transport",2024,493509.949714286,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2024,257036.432142857,"Low Emissions"
"Construction",2024,1151523.216,"Low Emissions"
"Others",2024,20562.9145714286,"Low Emissions"
"Agriculture",2024,3033029.89928571,"Low Emissions"
"Public Administration",2024,503791.407,"Low Emissions"
"Financial Intermediation and Business Activities",2024,411258.291428572,"Low Emissions"
"Private Households",2024,143940.402,"Low Emissions"
"Retail Trade",2024,873923.869285715,"Low Emissions"
"Textiles and Wearing Apparel",2024,370132.462285714,"Low Emissions"
"Maintenance and Repair",2024,400976.834142857,"Low Emissions"
"Transport Equipment",2024,41125.8291428572,"Low Emissions"
"Metal Products",2024,133658.944714286,"Low Emissions"
"Wholesale Trade",2024,462665.577857143,"Low Emissions"
"Wood and Paper",2024,51407.2864285714,"Low Emissions"
"Other Manufacturing",2024,102814.572857143,"Low Emissions"
"Education, Health and Other Services",2024,534635.778857143,"Low Emissions"
"Electrical and Machinery",2024,113096.030142857,"Low Emissions"
"Food & Beverages",2024,226192.060285714,"Low Emissions"
"Electricity, Gas and Water",2024,102814.572857143,"Low Emissions"
"Fishing",2024,174784.773857143,"Low Emissions"
"Hotels and Restaurants",2024,339288.090428572,"Low Emissions"
"Mining and Quarrying",2024,113096.030142857,"Low Emissions"
"Recycling",2025,10340.1423569117,"Low Emissions"
"Private Households",2025,144661.270631752,"Low Emissions"
"Maintenance and Repair",2025,403039.831907269,"Low Emissions"
"Transport Equipment",2025,41528.022896071,"Low Emissions"
"Others",2025,20696.3034831833,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2025,260757.074244689,"Low Emissions"
"Construction",2025,1163152.49164643,"Low Emissions"
"Post and Telecommunications",2025,208336.743232964,"Low Emissions"
"Education, Health and Other Services",2025,538065.110142143,"Low Emissions"
"Re-export & Re-import",2025,10332.9479008047,"Low Emissions"
"Financial Intermediation and Business Activities",2025,415813.649083931,"Low Emissions"
"Electricity, Gas and Water",2025,104130.332554891,"Low Emissions"
"Fishing",2025,175664.350870653,"Low Emissions"
"Transport",2025,497332.866620151,"Low Emissions"
"Textiles and Wearing Apparel",2025,371994.575220928,"Low Emissions"
"Hotels and Restaurants",2025,341097.69215041,"Low Emissions"
"Metal Products",2025,136387.89431064,"Low Emissions"
"Agriculture",2025,3050301.15412461,"Low Emissions"
"Wood and Paper",2025,52212.8733267471,"Low Emissions"
"Other Manufacturing",2025,103481.68198421,"Low Emissions"
"Electrical and Machinery",2025,123922.939563746,"Low Emissions"
"Public Administration",2025,506415.352462311,"Low Emissions"
"Retail Trade",2025,878760.995015857,"Low Emissions"
"Food & Beverages",2025,227339.58157657,"Low Emissions"
"Wholesale Trade",2025,467232.126571308,"Low Emissions"
"Mining and Quarrying",2025,113777.818187151,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2026,265481.556501419,"Low Emissions"
"Post and Telecommunications",2026,210827.726402093,"Low Emissions"
"Re-export & Re-import",2026,10354.3855094159,"Low Emissions"
"Recycling",2026,10374.7016206503,"Low Emissions"
"Transport",2026,500235.405061495,"Low Emissions"
"Maintenance and Repair",2026,403989.478754873,"Low Emissions"
"Agriculture",2026,3057487.08315841,"Low Emissions"
"Wood and Paper",2026,53446.9223379047,"Low Emissions"
"Construction",2026,1178302.61909232,"Low Emissions"
"Private Households",2026,144961.397100225,"Low Emissions"
"Electrical and Machinery",2026,147119.096371364,"Low Emissions"
"Public Administration",2026,507537.325824206,"Low Emissions"
"Financial Intermediation and Business Activities",2026,421250.993527934,"Low Emissions"
"Fishing",2026,176035.423673086,"Low Emissions"
"Retail Trade",2026,881553.979578002,"Low Emissions"
"Textiles and Wearing Apparel",2026,372782.695516596,"Low Emissions"
"Hotels and Restaurants",2026,342015.799224599,"Low Emissions"
"Transport Equipment",2026,42036.2590131557,"Low Emissions"
"Others",2026,20800.879572883,"Low Emissions"
"Wholesale Trade",2026,472891.49376018,"Low Emissions"
"Mining and Quarrying",2026,114323.154925316,"Low Emissions"
"Other Manufacturing",2026,104167.288602048,"Low Emissions"
"Education, Health and Other Services",2026,539907.61197513,"Low Emissions"
"Metal Products",2026,140817.500576617,"Low Emissions"
"Food & Beverages",2026,227827.251885967,"Low Emissions"
"Electricity, Gas and Water",2026,105524.136148387,"Low Emissions"
"Financial Intermediation and Business Activities",2027,424820.333690408,"Low Emissions"
"Post and Telecommunications",2027,212474.316424089,"Low Emissions"
"Private Households",2027,146081.78209537,"Low Emissions"
"Transport",2027,504130.1243341,"Low Emissions"
"Maintenance and Repair",2027,407120.313238602,"Low Emissions"
"Recycling",2027,10455.6790248788,"Low Emissions"
"Others",2027,20966.4352455883,"Low Emissions"
"Agriculture",2027,3081235.08424802,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2027,267927.524994136,"Low Emissions"
"Construction",2027,1187993.26779398,"Low Emissions"
"Other Manufacturing",2027,105129.070923866,"Low Emissions"
"Education, Health and Other Services",2027,544074.478094307,"Low Emissions"
"Re-export & Re-import",2027,10434.4130127762,"Low Emissions"
"Public Administration",2027,511440.620138953,"Low Emissions"
"Electricity, Gas and Water",2027,106426.793918196,"Low Emissions"
"Fishing",2027,177397.159614149,"Low Emissions"
"Retail Trade",2027,888424.226379989,"Low Emissions"
"Food & Beverages",2027,229590.27511199,"Low Emissions"
"Transport Equipment",2027,42394.769618384,"Low Emissions"
"Metal Products",2027,142304.762146512,"Low Emissions"
"Wholesale Trade",2027,476912.16683795,"Low Emissions"
"Mining and Quarrying",2027,115228.869423101,"Low Emissions"
"Wood and Paper",2027,53953.1499960658,"Low Emissions"
"Textiles and Wearing Apparel",2027,375666.482283504,"Low Emissions"
"Hotels and Restaurants",2027,344674.573643745,"Low Emissions"
"Electrical and Machinery",2027,150026.379744375,"Low Emissions"
"Private Households",2028,146928.620212642,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2028,271091.384803444,"Low Emissions"
"Post and Telecommunications",2028,214737.90737743,"Low Emissions"
"Fishing",2028,178428.551390589,"Low Emissions"
"Retail Trade",2028,893908.731486914,"Low Emissions"
"Re-export & Re-import",2028,10494.901318361,"Low Emissions"
"Recycling",2028,10538.4227951854,"Low Emissions"
"Transport Equipment",2028,42789.4730735239,"Low Emissions"
"Others",2028,21110.4472066077,"Low Emissions"
"Agriculture",2028,3099596.11991598,"Low Emissions"
"Wood and Paper",2028,54676.7929268147,"Low Emissions"
"Construction",2028,1199117.20806166,"Low Emissions"
"Education, Health and Other Services",2028,547709.490477566,"Low Emissions"
"Metal Products",2028,144739.499428591,"Low Emissions"
"Electrical and Machinery",2028,158726.461804044,"Low Emissions"
"Financial Intermediation and Business Activities",2028,429016.549698613,"Low Emissions"
"Electricity, Gas and Water",2028,107706.273021577,"Low Emissions"
"Hotels and Restaurants",2028,346753.592641327,"Low Emissions"
"Food & Beverages",2028,230928.738752142,"Low Emissions"
"Transport",2028,507921.373556939,"Low Emissions"
"Maintenance and Repair",2028,409520.480594206,"Low Emissions"
"Wholesale Trade",2028,481339.884662241,"Low Emissions"
"Mining and Quarrying",2028,115990.680751047,"Low Emissions"
"Other Manufacturing",2028,105969.472824404,"Low Emissions"
"Public Administration",2028,514459.833247293,"Low Emissions"
"Textiles and Wearing Apparel",2028,377851.214960658,"Low Emissions"
"Post and Telecommunications",2029,216471.631110313,"Low Emissions"
"Recycling",2029,10634.4834902581,"Low Emissions"
"Construction",2029,1209098.33256353,"Low Emissions"
"Private Households",2029,148013.495790539,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2029,273573.966681341,"Low Emissions"
"Financial Intermediation and Business Activities",2029,432664.906491786,"Low Emissions"
"Fishing",2029,179747.298923634,"Low Emissions"
"Re-export & Re-import",2029,10572.3923004682,"Low Emissions"
"Transport Equipment",2029,43151.2048689725,"Low Emissions"
"Metal Products",2029,146305.751109333,"Low Emissions"
"Others",2029,21273.0341176968,"Low Emissions"
"Agriculture",2029,3122610.09610537,"Low Emissions"
"Wood and Paper",2029,55208.8762176945,"Low Emissions"
"Other Manufacturing",2029,106889.402971596,"Low Emissions"
"Education, Health and Other Services",2029,551844.445093529,"Low Emissions"
"Electrical and Machinery",2029,162224.312481044,"Low Emissions"
"Public Administration",2029,518259.081347245,"Low Emissions"
"Electricity, Gas and Water",2029,108754.291461477,"Low Emissions"
"Hotels and Restaurants",2029,349337.730813068,"Low Emissions"
"Retail Trade",2029,900602.571161527,"Low Emissions"
"Transport",2029,511833.626660322,"Low Emissions"
"Maintenance and Repair",2029,412556.0717374,"Low Emissions"
"Textiles and Wearing Apparel",2029,380644.391914538,"Low Emissions"
"Wholesale Trade",2029,485389.556771081,"Low Emissions"
"Mining and Quarrying",2029,116883.276000421,"Low Emissions"
"Food & Beverages",2029,232636.741190806,"Low Emissions"
"Recycling",2030,10726.3902180208,"Low Emissions"
"Post and Telecommunications",2030,218367.772333341,"Low Emissions"
"Education, Health and Other Services",2030,555853.973937586,"Low Emissions"
"Agriculture",2030,3144232.57839155,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2030,276237.522418039,"Low Emissions"
"Financial Intermediation and Business Activities",2030,436479.236509903,"Low Emissions"
"Fishing",2030,180980.426510656,"Low Emissions"
"Private Households",2030,149027.513535862,"Low Emissions"
"Re-export & Re-import",2030,10644.8220098088,"Low Emissions"
"Transport",2030,515718.198926166,"Low Emissions"
"Transport Equipment",2030,43522.5794261686,"Low Emissions"
"Others",2030,21430.0486453168,"Low Emissions"
"Wholesale Trade",2030,489547.856708164,"Low Emissions"
"Wood and Paper",2030,55797.5953009457,"Low Emissions"
"Construction",2030,1219512.63931175,"Low Emissions"
"Electricity, Gas and Water",2030,109883.645068685,"Low Emissions"
"Retail Trade",2030,906940.490959625,"Low Emissions"
"Electrical and Machinery",2030,167237.897689252,"Low Emissions"
"Public Administration",2030,521827.491402998,"Low Emissions"
"Maintenance and Repair",2030,415402.523284871,"Low Emissions"
"Metal Products",2030,148113.701847828,"Low Emissions"
"Food & Beverages",2030,234234.69967017,"Low Emissions"
"Textiles and Wearing Apparel",2030,383256.422808736,"Low Emissions"
"Other Manufacturing",2030,107768.92118537,"Low Emissions"
"Hotels and Restaurants",2030,351771.59598653,"Low Emissions"
"Mining and Quarrying",2030,117737.982443263,"Low Emissions"
"Metal Products",2031,150293.437068185,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2031,279178.015153505,"Low Emissions"
"Post and Telecommunications",2031,220502.093591059,"Low Emissions"
"Wood and Paper",2031,56471.036195072,"Low Emissions"
"Private Households",2031,149928.291498882,"Low Emissions"
"Electrical and Machinery",2031,174575.71889919,"Low Emissions"
"Other Manufacturing",2031,108590.961852625,"Low Emissions"
"Financial Intermediation and Business Activities",2031,440530.757383067,"Low Emissions"
"Fishing",2031,182076.729837463,"Low Emissions"
"Food & Beverages",2031,235656.717093965,"Low Emissions"
"Public Administration",2031,525025.080583234,"Low Emissions"
"Maintenance and Repair",2031,417946.101299704,"Low Emissions"
"Transport",2031,519538.99031296,"Low Emissions"
"Others",2031,21577.8483059173,"Low Emissions"
"Agriculture",2031,3163626.39426644,"Low Emissions"
"Wholesale Trade",2031,493857.176989554,"Low Emissions"
"Construction",2031,1230502.37605278,"Low Emissions"
"Education, Health and Other Services",2031,559643.068447983,"Low Emissions"
"Recycling",2031,10811.6326732702,"Low Emissions"
"Retail Trade",2031,912702.271608346,"Low Emissions"
"Electricity, Gas and Water",2031,111128.077127811,"Low Emissions"
"Re-export & Re-import",2031,10709.163164594,"Low Emissions"
"Transport Equipment",2031,43907.2788530474,"Low Emissions"
"Mining and Quarrying",2031,118530.364066953,"Low Emissions"
"Hotels and Restaurants",2031,353964.055173847,"Low Emissions"
"Textiles and Wearing Apparel",2031,385578.89605922,"Low Emissions"
"Education, Health and Other Services",2032,563446.966272209,"Low Emissions"
"Electrical and Machinery",2032,181856.363706187,"Low Emissions"
"Agriculture",2032,3183020.19263847,"Low Emissions"
"Others",2032,21725.555307987,"Low Emissions"
"Construction",2032,1241527.00057946,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2032,282097.821813712,"Low Emissions"
"Post and Telecommunications",2032,222632.639723502,"Low Emissions"
"Private Households",2032,150829.355006018,"Low Emissions"
"Electricity, Gas and Water",2032,112379.110307721,"Low Emissions"
"Public Administration",2032,528223.978367409,"Low Emissions"
"Financial Intermediation and Business Activities",2032,444576.214006115,"Low Emissions"
"Fishing",2032,183173.321226682,"Low Emissions"
"Food & Beverages",2032,237079.132958579,"Low Emissions"
"Retail Trade",2032,918466.478291164,"Low Emissions"
"Maintenance and Repair",2032,420490.283101929,"Low Emissions"
"Metal Products",2032,152455.418563889,"Low Emissions"
"Transport Equipment",2032,44291.2510239991,"Low Emissions"
"Mining and Quarrying",2032,119323.263775274,"Low Emissions"
"Other Manufacturing",2032,109402.727006347,"Low Emissions"
"Wood and Paper",2032,57142.374633115,"Low Emissions"
"Re-export & Re-import",2032,10773.5247165061,"Low Emissions"
"Recycling",2032,10896.707784959,"Low Emissions"
"Hotels and Restaurants",2032,356156.863262243,"Low Emissions"
"Transport",2032,523360.478749653,"Low Emissions"
"Textiles and Wearing Apparel",2032,387902.069950787,"Low Emissions"
"Wholesale Trade",2032,498156.965644453,"Low Emissions"
"Electrical and Machinery",2033,188181.211297768,"Low Emissions"
